Country;Control of Corruption;Government Effectiveness;Political Stability;Regulatory Quality;Rule of Law;Voice and Accountability
Dominica;0.616523981;0.106443174;1.186558962;0.261361897;0.639645278;1.109453559
Dominican Republic;-0.769615471;-0.344239295;0.170123503;-0.037125729;-0.456412226;0.127884999
Ecuador;-0.653979957;-0.435876459;-0.101074822;-1.141564012;-1.028782845;-0.259271324
Egypt. Arab Rep.;-0.559167325;-0.761894822;-1.34292686;-0.796496511;-0.503164709;-1.09615612
El Salvador;-0.434550941;-0.242529854;-0.050044194;0.199564964;-0.592137337;0.126707032
Equatorial Guinea;-1.827678084;-1.422546506;-0.189996898;-1.345309258;-1.396142006;-2.002322912
Eritrea;-1.338431835;-1.59962213;-0.872908652;-2.112015724;-1.414312363;-2.042179823
Estonia;1.252626896;1.091304302;0.621380806;1.656154394;1.32837379;1.17190516
Ethiopia;-0.411111712;-0.640669525;-1.480042815;-1.00493598;-0.435138941;-1.258795857
Fiji;-0.063689619;-0.292351067;0.580160856;-0.380547822;-0.432155162;0.058729459
Finland;2.283533335;1.822500587;1.038719416;1.828457236;2.073492527;1.560109854
France;1.279833794;1.443159819;0.273450732;1.154509425;1.40647471;1.184586406
French Guiana;1.027357936;1.093286872;0.544383168;1.447807431;1.323640466;1.231315732
Gabon;-0.665876806;-0.732221544;0.033404406;-0.796809494;-0.536851585;-0.949368834
Gambia. The;-0.77191031;-0.89269346;0.013977294;-0.493587554;-0.657494724;-1.475413561
Georgia;0.636309206;0.401318818;-0.397093773;0.924012303;0.296435267;0.215415865
Germany;1.818987489;1.739729166;0.715223312;1.665130258;1.782266736;1.432030082
Ghana;-0.175081149;-0.255614817;0.028305775;-0.030894576;0.118105732;0.511039793
Greece;-0.130120397;0.249212891;-0.226887822;0.397235364;0.242393196;0.590706587
Greenland;1.191376567;0.845817387;1.920933723;1.365183473;1.736401558;1.231315732
Grenada;0.309944391;-0.2024104;0.814351976;0.005196927;-0.198735192;0.936310291
Guatemala;-0.711244464;-0.713743448;-0.647319317;-0.204007089;-0.986805022;-0.417117894
Guinea;-0.972723126;-1.13575387;-0.445999473;-0.863699138;-1.172340274;-0.886921763
Guinea-Bissau;-1.429343581;-1.622959018;-0.443891227;-1.19753933;-1.301710129;-0.810947537
Guyana;-0.766174972;-0.336635172;-0.175518215;-0.551770806;-0.496412456;0.21552746
Haiti;-1.257344604;-2.002146244;-0.729088247;-1.159086823;-1.166457295;-0.836117923
Honduras;-0.566870332;-0.818613529;-0.509917915;-0.397230923;-0.951104343;-0.449442714
Hong Kong SAR. China;1.6740731;1.928194761;0.993102849;2.176571369;1.832190633;0.483070374
Hungary;0.104408205;0.491794795;0.731825411;0.768639028;0.404108435;0.516577542
Iceland;1.95247221;1.500925064;1.267158747;1.268698215;1.674907327;1.399754643
India;-0.380446225;0.100586176;-0.920993865;-0.391384512;-0.056629803;0.389227569
Indonesia;-0.453910321;-0.224536434;-0.595944047;-0.210573971;-0.412583739;0.142861724
Iran. Islamic Rep.;-0.609386086;-0.201812923;-0.9052127;-1.280391216;-0.95405513;-1.538279176
Iraq;-1.371348262;-1.269264936;-2.286989927;-1.232893944;-1.45904541;-1.194187641
Ireland;1.635560274;1.536572576;0.927194595;1.813817739;1.787646174;1.354030371
Israel;0.894468665;1.37515533;-1.118488312;1.270083547;1.168267012;0.743652999
Italy;-0.047047861;0.453999162;0.343587697;0.729968429;0.251778394;1.012034178
Jamaica;-0.327040851;0.246153101;0.094764911;0.109950013;-0.234898999;0.547368288
Japan;1.608630419;1.791387916;0.977663338;1.177004576;1.511390209;1.022506833
